operation, x, y, z, xtype, ytype, ztype, xunit, yunit, zunit
matrix multiplication, 256, 0.22, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.235, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.222, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.215, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.232, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.226, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.223, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.215, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.216, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.237, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.214, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.24, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.271, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.222, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.003, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.218, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.225, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.211, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.215, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.233, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.236, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.218, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.219, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.221, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.226, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.227, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.226, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.233, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.233, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.229, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.226, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.25, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.23, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.224, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.003, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.21, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.212, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.214, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.259, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.224, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.233, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.225, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.218, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.24, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.226, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.218, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.218, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.224, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.232, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.222, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.225, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.217, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.231, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.214, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.219, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.21, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.235, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.225, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.215, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.218, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.224, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.273, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.239, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.216, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.235, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.247, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.231, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.231, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.232, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.216, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.222, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.22, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.211, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.226, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.231, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.224, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.21, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.212, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.224, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.231, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.226, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.217, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.247, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.233, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.229, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.221, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.229, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.23, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.234, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.214, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.22, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.24, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.214, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.233, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.227, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.218, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.223, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.235, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.236, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.212, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.243, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.225, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.222, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.22, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.217, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.213, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.217, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.218, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.221, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.231, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.23, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.227, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.213, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.234, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.244, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.217, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.215, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.215, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.222, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.242, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.226, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.226, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.237, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.223, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.225, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.249, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.227, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.213, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.215, vcm, matrix order, time, allocator, (NxN), seconds, 
